drug,event,final_severity,ebgm,n_cases,death_rate,signal_overview,statistical_evidence,case_outcomes,mechanism,class_comparison,recommendation
clozapine,NEUTROPHIL COUNT NORMAL,MILD,109.7813,302,0.0,"Clozapine, an atypical antipsychotic indicated for treatment-resistant schizophrenia, shows a strong statistical association with reports of normal neutrophil count.","PRR of 68,032.89 and EBGM of 109.78 indicate extremely strong disproportional reporting with 302 cases versus 2.7 expected, suggesting systematic reporting patterns.","No deaths reported (0.0% mortality) with minimal serious outcomes (1.0%), affecting patients with median age of 47 years.",Reports of normal neutrophil counts likely reflect mandatory hematological monitoring requirements for clozapine therapy rather than an adverse drug reaction.,This signal is unique to clozapine within the atypical antipsychotic class due to its specific requirement for routine blood monitoring to prevent agranulocytosis.,This represents a reporting artifact from mandatory monitoring rather than a safety concern; no regulatory action required but monitoring the signal for potential coding issues is advisable.
clozapine,DIFFERENTIAL WHITE BLOOD CELL COUNT ABNORMAL,MODERATE,96.1705,123,0.13008130081300814,"Clozapine, an atypical antipsychotic indicated for treatment-resistant schizophrenia, shows a strong statistical association with differential white blood cell count abnormal.","With PRR 1111.02 and EBGM 96.17 (EB05: 82.73), the 123 observed cases represent a 102-fold increase over the 1.2 expected cases, indicating a highly significant disproportional signal.","Among 123 cases with median age 50 years, 13.0% resulted in death and 57.7% were classified as serious, reflecting substantial clinical impact.",Clozapine's known propensity for dose-dependent bone marrow suppression and agranulocytosis provides a well-established biological mechanism for differential white blood cell abnormalities.,"This signal is consistent with clozapine's unique hematologic toxicity profile within atypical antipsychotics, as other agents in this class rarely cause significant white blood cell disorders.",This signal confirms established knowledge requiring continued mandatory hematologic monitoring protocols and reinforces the importance of existing risk evaluation and mitigation strategies for clozapine therapy.
clozapine,BENIGN ETHNIC NEUTROPENIA,MILD,90.1058,39,0.0,"Clozapine, an atypical antipsychotic used for treatment-resistant schizophrenia, shows a signal for benign ethnic neutropenia with 39 reported cases against 0.3 expected.","Very strong disproportionality signal with PRR 8883.63 and EBGM 90.11 (EB05: 68.77), indicating robust statistical association well above background reporting rates.","No deaths reported (0.0% mortality) with 28.2% serious cases and median age of 36 years, suggesting manageable clinical outcomes in this population.",Clozapine's known hematologic effects may be misclassified as pathological neutropenia in patients with constitutionally lower neutrophil counts due to genetic variants common in certain ethnic populations.,"This pattern is specific to clozapine among atypical antipsychotics due to its unique requirement for absolute neutrophil count monitoring, potentially leading to inappropriate discontinuation in patients with benign ethnic neutropenia.","Update prescribing information to include guidance on distinguishing benign ethnic neutropenia from clozapine-induced neutropenia, with consideration of baseline neutrophil reference ranges for different ethnic populations."
dolutegravir,SYPHILIS,MODERATE,180.3839,50,0.0,"Dolutegravir is an integrase inhibitor used for HIV treatment, with a statistical signal for syphilis (MedDRA PT: Syphilis).","Strong statistical signal with PRR 495.29, EBGM 180.38, and EB05 142.18 based on 50 reports versus 0.2 expected, indicating substantially elevated reporting.",No deaths reported among 50 cases with 18.5% serious outcomes and median age of 37 years.,"Likely represents diagnostic bias or behavioral confounding rather than direct drug causality, as syphilis acquisition reflects sexual risk behaviors common in HIV-positive populations rather than immunosuppressive drug effects.","This signal appears unique to dolutegravir rather than a class effect of integrase inhibitors, suggesting detection bias or population-specific factors.",Monitor for additional cases while recognizing this likely represents confounding by indication and behavioral risk factors rather than drug-induced immunosuppression.
dolutegravir,BLOOD HIV RNA INCREASED,SEVERE,174.68,71,0.014084507042253521,"Dolutegravir, an integrase strand transfer inhibitor manufactured by GSK for HIV treatment, shows a statistical signal for increased blood HIV RNA levels (viral load increase).","Strong signal with PRR 389.66 and EBGM 174.68 based on 63 reports versus 0.3 expected, indicating substantial disproportionate reporting of viral load increases with dolutegravir.","Among 71 cases, death rate was low at 1.4% with 16.9% serious outcomes, affecting patients with median age 44 years consistent with typical HIV population demographics.",Viral resistance development or drug-drug interactions reducing dolutegravir bioavailability could lead to subtherapeutic levels and subsequent viral rebound with increased HIV RNA.,"This signal is concerning as integrase inhibitors like dolutegravir typically maintain high barrier to resistance, making viral load increases unexpected compared to other antiretroviral classes.","Urgent investigation warranted to assess resistance patterns, drug adherence, and potential interactions; consider regulatory communication regarding monitoring recommendations."
dolutegravir,VIRAL MUTATION IDENTIFIED,MILD,155.117,76,0.0,"Dolutegravir, an integrase inhibitor used for HIV treatment, shows a disproportionate association with viral mutation identification reports.","Strong statistical signal with PRR 296.77 and EBGM 155.12 based on 67 reports versus 0.3 expected, indicating substantial disproportionality.","All 76 cases were non-serious with 0% mortality, median age 44 years, consistent with typical HIV patient demographics.","Viral mutations may emerge as resistance mechanisms to integrase inhibitor pressure, representing expected pharmacological response rather than traditional adverse drug reaction.","This pattern is consistent with integrase inhibitor class effects where resistance mutations can develop during treatment, particularly with suboptimal adherence or drug levels.",Monitor as pharmacological effect rather than safety signal; consider guidance on resistance testing protocols and adherence optimization.
isotretinoin,PREGNANCY TEST FALSE POSITIVE,MILD,108.0014,19,0.0,"Isotretinoin, an oral retinoid indicated for severe acne, shows a statistical signal for pregnancy test false positive (MedDRA PT).","Strong signal with PRR 618.79, EBGM 108.00, based on 19 reports versus 0.1 expected, indicating substantial disproportionate reporting.",No deaths or serious outcomes reported; median age 29 years consistent with reproductive-age women typical for acne treatment.,"Isotretinoin may interfere with immunoassay-based pregnancy tests through cross-reactivity or altered protein binding, though direct mechanistic evidence is limited.","This signal appears unique to isotretinoin rather than a general retinoid class effect, as other retinoids lack similar pregnancy test interference reports.",Monitor signal development and consider advising healthcare providers to use alternative pregnancy testing methods or confirm results when prescribing isotretinoin to women of reproductive potential.
isotretinoin,XEROSIS,MILD,103.1678,45,0.0,"Isotretinoin, an oral retinoid indicated for severe acne, shows a statistical signal for xerosis (abnormal dryness of skin and mucous membranes).","Strong disproportionality signal with PRR 212.03, EBGM 103.17, and EB05 80.25 based on 45 cases versus 0.3 expected, indicating robust statistical association.","No deaths reported among 45 cases with 2.2% serious outcomes and median age of 20 years, consistent with the acne patient population.","Isotretinoin suppresses sebaceous gland activity and reduces sebum production, leading to decreased skin and mucosal moisture retention causing xerosis.",Xerosis is a well-established class effect of systemic retinoids due to their mechanism of reducing sebaceous gland function and altering epithelial differentiation.,Monitor as confirmed expected adverse reaction; ensure adequate patient counseling on skin moisturization and management of mucosal dryness.
isotretinoin,ACNE FULMINANS,SEVERE,82.2752,13,0.0,"Isotretinoin, a systemic retinoid indicated for severe acne, shows a statistical association with acne fulminans (MedDRA PT: ACNE FULMINANS).","Very strong signal with PRR 555.32, EBGM 82.28, and lower confidence bound EB05 50.13, based on 12 observed versus 0.1 expected cases.","No deaths reported among 13 cases, with 7.7% serious outcomes and median age of 15 years, consistent with the typical demographic for severe acne treatment.","Retinoids can paradoxically trigger inflammatory acne exacerbations through initial comedolytic effects and potential modulation of inflammatory pathways, particularly in predisposed adolescent males.","This severe inflammatory reaction is a recognized class effect of systemic retinoids, representing an extreme form of the well-documented initial acne flare phenomenon.","Update prescribing information to include acne fulminans as a potential serious adverse reaction with recommendations for close monitoring during treatment initiation, particularly in young male patients."
lecanemab,AMYLOID RELATED IMAGING ABNORMALITY-OEDEMA/EFFUSION,SEVERE,589.2496,137,0.043478260869565216,"Lecanemab, an anti-amyloid monoclonal antibody for early Alzheimer disease, shows a strong signal for amyloid related imaging abnormality-oedema/effusion (ARIA-E).",PRR of 4866.43 and EBGM of 589.25 with 136 reports versus 0.1 expected indicates an exceptionally strong disproportionality signal.,"Among 137 cases with median age 73 years, death rate was 4.3% and serious outcomes occurred in 26.1% of cases.",Anti-amyloid antibodies can cause ARIA-E through inflammatory responses and vascular changes following amyloid plaque removal from cerebral blood vessels.,"ARIA-E is a well-recognized class effect of anti-amyloid monoclonal antibodies, consistent with the mechanism of action and previous clinical trial data.",Continue enhanced monitoring with regular MRI surveillance and consider dose modifications or discontinuation protocols based on ARIA severity grading.
lecanemab,AMYLOID RELATED IMAGING ABNORMALITY-MICROHAEMORRHAGES AND HAEMOSIDERIN DEPOSITS,SEVERE,563.2807,123,0.024193548387096774,"Lecanemab, an anti-amyloid monoclonal antibody for early Alzheimer disease, shows a strong signal for AMYLOID RELATED IMAGING ABNORMALITY-MICROHAEMORRHAGES AND HAEMOSIDERIN DEPOSITS.","With PRR 4796.88 and EBGM 563.28 based on 122 reports versus 0.1 expected, this represents an exceptionally strong disproportionality signal indicating a clear safety concern.","Among 123 cases with median age 74 years, 2.4% resulted in death and 19.4% were classified as serious, indicating significant clinical impact in this elderly population.","Anti-amyloid antibodies can cause amyloid-related imaging abnormalities (ARIA) through inflammatory responses during amyloid plaque clearance, leading to cerebral microhemorrhages and hemosiderin deposits.","This adverse event is a known class effect of anti-amyloid monoclonal antibodies, consistent with the established ARIA profile seen with other agents in this therapeutic class.","Enhanced monitoring with regular MRI surveillance is warranted, along with careful patient selection and consideration of dose modifications or discontinuation based on ARIA severity."
lecanemab,AMYLOID RELATED IMAGING ABNORMALITIES,SEVERE,324.0909,42,0.0,"Lecanemab, an anti-amyloid monoclonal antibody for early Alzheimer disease, shows a strong signal for amyloid related imaging abnormalities (ARIA).",PRR of 7809.05 and EBGM of 324.09 with 42 cases versus 0.0 expected represents an exceptionally strong disproportionality signal indicating a clear association.,"No deaths reported among 42 cases with 21.4% serious outcomes in patients with median age 72 years, suggesting generally manageable but potentially significant clinical impact.","ARIA represents known on-target toxicity from amyloid plaque removal causing localized brain edema and microhemorrhages, consistent with the drug's mechanism of action.",This signal is consistent with the established ARIA risk profile shared across anti-amyloid monoclonal antibodies including aducanumab and donanemab.,"Continue routine MRI monitoring per established protocols and ensure appropriate patient counseling regarding ARIA risk, as this represents expected class-related toxicity."
lisinopril,GRIP STRENGTH,FATAL,224.5263,49,0.9795918367346939,"Lisinopril, an ACE inhibitor used for hypertension and heart failure, shows a statistical signal for grip strength impairment as reported adverse event.","Strong disproportionality with PRR 1134.45 and EBGM 224.53 based on 40 reports versus 0.1 expected, indicating a robust statistical signal.",Extremely high mortality (98.0%) and universal serious outcomes (100.0%) with relatively young median age of 44 years suggests severe systemic compromise.,"ACE inhibitors can cause electrolyte imbalances (hyperkalemia, hyponatremia) and hypotension leading to muscle weakness and potentially fatal complications.","Grip strength impairment is not a recognized class effect of ACE inhibitors, making this signal potentially unique to lisinopril or indicative of underlying confounding factors.",Immediate detailed case review to assess causality and explore potential confounders given the unusually high mortality rate and atypical presentation for ACE inhibitor toxicity.
lisinopril,NEUROLOGIC NEGLECT SYNDROME,SEVERE,223.4194,38,0.0,"Lisinopril, an ACE inhibitor indicated for hypertension and heart failure, shows a disproportionate association with neurologic neglect syndrome (MedDRA PT).","Strong statistical signal with PRR 1270.15 and EBGM 223.42, representing 38 cases against 0.1 expected, indicating substantial disproportionate reporting.","No deaths reported but 100% serious outcomes with median age 65 years, suggesting significant morbidity in older adults.","ACE inhibitors may cause cerebral hypoperfusion through excessive blood pressure reduction or altered cerebrovascular autoregulation, potentially leading to focal neurologic deficits resembling neglect syndrome.","This neurologic presentation is atypical for ACE inhibitors, which more commonly cause cough, hyperkalemia, and angioedema rather than focal cerebral syndromes.","Investigate cases for confounding factors including stroke or other cerebrovascular events, and consider targeted labeling update if causal relationship is established through detailed case review."
lisinopril,CAROTID ARTERY THROMBOSIS,SEVERE,218.2496,41,0.0,"Lisinopril, an ACE inhibitor used for hypertension and heart failure, shows a disproportionate signal for carotid artery thrombosis (MedDRA PT).","Strong signal with PRR 1120.72, EBGM 218.25, based on 38 reports versus 0.1 expected, indicating substantial disproportionality.","All 41 cases were serious with 0% mortality, occurring in patients with median age 63 years.",ACE inhibitors may paradoxically increase thrombotic risk through altered bradykinin metabolism and potential prothrombotic effects in certain vascular beds.,This thrombotic signal appears inconsistent with the typical cardiovascular protective profile of ACE inhibitors as a class.,"Conduct detailed case review to assess temporal relationship and confounding factors, and consider regulatory consultation given signal strength."
mepolizumab,TOTAL LUNG CAPACITY ABNORMAL,FATAL,100.0541,61,0.46875,"Mepolizumab, an anti-IL-5 monoclonal antibody indicated for severe eosinophilic asthma, shows a strong disproportionality signal for total lung capacity abnormal (MedDRA PT).","With 59 reports versus 0.5 expected, the signal demonstrates extremely high disproportionality (PRR 360.74, EBGM 100.05), indicating a robust statistical association well above background reporting rates.","All 61 cases were serious with a concerning 46.9% fatality rate, occurring predominantly in older patients (median age 65 years).","IL-5 inhibition may disrupt eosinophil-mediated tissue repair and remodeling processes in the lungs, potentially leading to structural changes affecting total lung capacity measurement or actual pulmonary function deterioration.","This pattern appears unique among anti-IL-5 therapies, as severe pulmonary function deterioration with high mortality is not typically associated with this drug class, which generally shows favorable respiratory safety profiles.","Immediate regulatory review and targeted safety communication are warranted, with consideration for enhanced pulmonary function monitoring protocols and potential contraindications in patients with compromised baseline lung capacity."
mepolizumab,TOTAL LUNG CAPACITY INCREASED,MODERATE,87.856,24,0.0,"Mepolizumab, an anti-IL-5 monoclonal antibody indicated for severe eosinophilic asthma, shows a disproportionate association with increased total lung capacity.","Strong statistical signal with PRR 498.05, EBGM 87.86, based on 24 reports versus 0.2 expected, indicating significant disproportionate reporting.","No deaths reported among 24 cases, but 87.5% were serious events with median age of 52 years.","Anti-IL-5 therapy reduces airway eosinophilia and inflammation, potentially leading to improved lung mechanics and increased measurable lung capacity in severe asthma patients.","This finding is consistent with the therapeutic mechanism of IL-5 antagonists, which aim to reduce eosinophilic airway inflammation and improve pulmonary function.","Continue monitoring as this may represent a therapeutic effect rather than an adverse event, but assess clinical context to differentiate from pathological lung hyperinflation."
mepolizumab,ASTHMA-CHRONIC OBSTRUCTIVE PULMONARY DISEASE OVERLAP SYNDROME,MODERATE,85.3661,41,0.0,"Mepolizumab, an anti-IL-5 monoclonal antibody indicated for severe eosinophilic asthma, shows a statistical signal for asthma-chronic obstructive pulmonary disease overlap syndrome (ACOS).","Strong disproportionality signal with PRR 260.76, EBGM 85.37, based on 41 cases versus 0.4 expected, indicating substantial over-reporting relative to background rates.","No deaths reported among 41 cases, with 90.2% classified as serious outcomes and median age of 52 years, suggesting clinically significant but non-fatal presentations.","Anti-IL-5 therapy may unmask underlying COPD components in patients with complex airway disease, or alter inflammatory patterns leading to recognition of previously undiagnosed ACOS.","This signal appears specific to mepolizumab's anti-IL-5 mechanism rather than being a general monoclonal antibody class effect, as IL-5 inhibition specifically targets eosinophilic inflammation.","Enhanced monitoring for COPD features in mepolizumab-treated patients, particularly those with risk factors, and consideration of pulmonary function assessment to distinguish asthma phenotypes."
metformin,LACTIC ACIDOSIS,FATAL,116.9473,1626,0.1517199017199017,"Metformin, a biguanide antidiabetic agent indicated for type 2 diabetes, shows a strong statistical signal for lactic acidosis with 1572 reports versus 13.4 expected.","PRR of 353.73 and EBGM of 116.95 indicate an exceptionally strong disproportionality signal, with observed cases exceeding expected by over 100-fold.","High severity profile with 15.2% fatality rate and 89.3% serious outcomes, predominantly affecting elderly patients (median age 65 years).","Metformin inhibits mitochondrial complex I and hepatic gluconeogenesis, potentially leading to lactate accumulation, particularly in patients with renal impairment or tissue hypoxia.","This represents a well-established class effect of biguanides, with metformin having lower risk than phenformin which was withdrawn due to lactic acidosis.","Reinforce existing contraindications for renal impairment, tissue hypoxia, and acute illness; consider enhanced monitoring guidance for high-risk populations."
metformin,PULMONARY VASCULITIS,FATAL,109.5402,88,0.3146067415730337,"Metformin, a biguanide antidiabetic agent indicated for type 2 diabetes mellitus, shows a disproportionate association with pulmonary vasculitis (MedDRA PT).","Strong statistical signal with PRR 418.23, EBGM 109.54, based on 82 reports versus 0.7 expected, indicating substantial disproportionality.",High mortality (31.5% death rate) and morbidity (98.9% serious outcomes) in predominantly elderly patients (median age 65 years).,"Potential immune-mediated vasculitic process, though no established mechanism links biguanides to pulmonary vasculitis in current literature.","Pulmonary vasculitis is not a recognized class effect of biguanides, making this signal unexpected for metformin's established safety profile.","Urgent regulatory review warranted given signal strength, fatal outcomes, and absence of established mechanism or class precedent."
metformin,NEUROLOGIC NEGLECT SYNDROME,SEVERE,99.9512,44,0.0,"Metformin, a biguanide antidiabetic agent indicated for type 2 diabetes, shows a statistical signal for neurologic neglect syndrome (MedDRA PT).","Strong disproportionality signal with PRR 434.74, EBGM 99.95, based on 43 observed versus 0.3 expected cases, indicating substantial over-reporting.","All 44 cases were serious (100%) with no deaths (0%) and median age of 63 years, suggesting significant morbidity without mortality.","Potential mechanism may involve metformin-induced vitamin B12 deficiency leading to neurological complications, though direct causation for neglect syndrome remains unclear.","This neurological adverse event is atypical for biguanides, which primarily cause gastrointestinal effects and rare lactic acidosis.","Detailed case review recommended to assess temporal relationship, confounding factors, and potential misclassification of neurological symptoms."
omeprazole,CARDIOSPASM,MODERATE,147.3111,46,0.0,"Omeprazole, a proton pump inhibitor indicated for GERD and peptic ulcer disease, shows a statistical signal for cardiospasm (esophageal achalasia-like condition).","Strong disproportionality with PRR 1319.21 and EBGM 147.31 based on 46 reports versus 0.2 expected, indicating a robust statistical association.","No deaths reported with 60.9% serious cases in a median age population of 61 years, suggesting clinically significant but non-fatal presentations.","Prolonged acid suppression may alter esophageal motility through changes in gastrin levels and potential effects on smooth muscle function, though direct causality remains unclear.","This signal appears specific to omeprazole rather than a broad PPI class effect, as cardiospasm is not commonly reported with other proton pump inhibitors.","Further investigation warranted including detailed case review, assessment of temporal relationships, and evaluation of potential confounding factors given the strong statistical signal."
omeprazole,CAROTID ARTERY THROMBOSIS,SEVERE,123.0815,49,0.0196078431372549,"Omeprazole, a proton pump inhibitor indicated for GERD and peptic ulcer disease, shows a statistical signal for carotid artery thrombosis (MedDRA PT).","Strong disproportionality signal with PRR 511.70, EBGM 123.08, and EB05 95.18 based on 43 reports versus 0.3 expected, indicating substantial excess reporting.","Among 49 cases, 100% were serious with 2.0% fatality rate and median age of 61 years, consistent with severe vascular events in an older population.","Potential mechanism involves PPI-induced hypomagnesemia leading to endothelial dysfunction and prothrombotic state, or drug-induced platelet aggregation affecting cerebrovascular circulation.","This arterial thrombotic signal appears specific to omeprazole rather than a general PPI class effect, as other PPIs have not demonstrated similar carotid-specific thrombotic patterns.","Immediate regulatory review warranted given strong signal strength and 100% serious outcomes, with consideration for targeted pharmacovigilance studies and potential prescribing guidance updates."
